"96879",\N,"2015-04-09",\N,"净值标 
											 	 				 ","101826","已还款","短期周转",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","31岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97166",\N,"2014-12-26",\N,"周年红包标  
							 					 			 ","888888","已还款","一周年店庆标    一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97167",\N,"2014-12-26",\N,"10日标，1月5日到期提现 
											 	 ","11000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97168",\N,"2014-12-26",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97169",\N,"2014-12-26",\N,"中安红包活动标（还款日期1月28日） 
							 					 			 ","300000","已还款","此A账户为 8886账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97170",\N,"2014-12-26",\N,"周年红包标     
							 					 			 ","888888","已还款","一周年店庆标一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97171",\N,"2014-12-26",\N,"11天短期承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.2%",\N
"97172",\N,"2014-12-25",\N,"十点前还款！ 
											 ","10000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97173",\N,"2014-12-25",\N,"顶息一月标 
											 ","11000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97174",\N,"2014-12-25",\N,"中安红包活动标（还款日期1月27日） 
							 					 			 ","600000","已还款","此A账户为 8885账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97175",\N,"2014-12-25",\N,"周年红包标  
							 					 			 ","888888","已还款","一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97176",\N,"2014-12-25",\N,"11天短期承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.2%",\N
"97177",\N,"2014-12-25",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97178",\N,"2014-12-24",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97179",\N,"2014-12-24",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97180",\N,"2014-12-24",\N,"周年红包标   
							 					 			 ","888888","已还款"," 周年红包标      一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97181",\N,"2014-12-24",\N,"中安红包活动标（还款日期1月26日） 
							 					 			 ","300000","已还款","此A账户为 8885账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97182",\N,"2014-12-24",\N,"十点前还款！ 
											 	 ","10000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97183",\N,"2014-12-23",\N,"十点前还款！ 
											 	 ","50460","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97184",\N,"2014-12-23",\N,"中安宝长期标 
							 					 			 	 ","600000","已还款","中安宝长期标",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97185",\N,"2014-12-23",\N,"艾薇标，十点还款，少量不满截标 
											 ","10593","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"女","26岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97186",\N,"2014-12-23",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97187",\N,"2014-12-23",\N,"企业周转一月标   
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97188",\N,"2014-12-23",\N,"周年红包标    
							 					 			 ","888888","已还款","一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97189",\N,"2014-12-23",\N,"中安红包活动标（还款日期1月23日） 
							 					 			 ","600000","已还款","此A账户为 8885账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97190",\N,"2014-12-22",\N,"十点前还款！ 
											 ","12927","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97191",\N,"2014-12-22",\N,"短期理财定向标  
							 					 				 ","400000","已还款","当日购买次日计息，满额后停止募集。
利润分配比例为客户60%，投顾方40%。
当日利润=投资本金（万）*每日每万元收入*0.6
初始权益为 600，0000.00 元 ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97192",\N,"2014-12-22",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97193",\N,"2014-12-22",\N,"周年红包标    
							 					 			 ","888888","已还款","一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97194",\N,"2014-12-22",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97195",\N,"2014-12-22",\N,"中安红包活动标（还款日期1月22日） 
							 					 			 ","400000","已还款","此A账户为 8884账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97196",\N,"2014-12-21",\N,"十点前还款！ 
											 ","5071","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97197",\N,"2014-12-21",\N,"黄帝标，欢迎续投 
											 ","5885","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","30岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97198",\N,"2014-12-21",\N,"短期理财定向标  
							 					 				 ","400000","已还款","当日购买次日计息，满额后停止募集。
利润分配比例为客户60%，投顾方40%。
当日利润=投资本金（万）*每日每万元收入*0.6
初始权益为 600，0000.00 元 ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97199",\N,"2014-12-21",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97200",\N,"2014-12-21",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97201",\N,"2014-12-21",\N,"周年红包标   
							 					 			 ","888888","已还款","一周年店庆标   回馈新老客户",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97202",\N,"2014-12-21",\N,"中安红包活动标（还款日期1月21日） 
							 					 			 ","600000","已还款","此A账户为 8884账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97203",\N,"2014-12-21",\N,"短期周转，提前还款 
											 	 			 ","2000","已还款","短期周转，提前还款",\N,"23.24",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","26岁",\N,\N,\N,\N,\N,\N,\N,"0.5%",\N
"97204",\N,"2014-12-20",\N,"艾薇标，十点还款 
											 ","20388","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"女","26岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97205",\N,"2014-12-20",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97206",\N,"2014-12-20",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 


 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97207",\N,"2014-12-20",\N,"周年红包标 
							 					 			 ","888888","已还款","一周年店庆答谢新老客户标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97208",\N,"2014-12-20",\N,"中安红包活动标（还款日期1月21日） 
							 					 			 ","600000","已还款","此A账户为 8884账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97209",\N,"2014-12-19",\N,"企业周转一月定向标 
							 					 			 	 ","1500000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97210",\N,"2014-12-19",\N,"中安红包活动标（还款日期1月21日） 
							 					 			 ","600000","已还款","此A账户为 8883账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97211",\N,"2014-12-26",\N,"十点前还款！ 
											 ","10000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97212",\N,"2014-12-19",\N,"周年红包标  
							 					 			 ","888888","已还款","一周年店庆回馈新老客户活动",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97213",\N,"2014-12-19",\N,"中安红包活动标（还款日期1月21日） 
							 					 			 ","600000","已还款","此A账户为 8881账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97214",\N,"2014-12-19",\N,"周年红包标 
							 					 			 ","888888","已还款","一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97215",\N,"2014-12-19",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97216",\N,"2014-12-19",\N,"中安宝B账户（还款日期1月21日） 
							 					 ","150000","已还款","B账户杠杆费用为1:3 杠杆手续费每一万单月为390


           投资账户内需预留杠杆费用",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97217",\N,"2014-12-19",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97218",\N,"2014-12-18",\N,"老曹已回款，欢迎PVQIU续投！ 
											 ","14596","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97219",\N,"2014-12-18",\N,"十点前还款！ 
											 ","19000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97220",\N,"2014-12-18",\N,"黄帝标，19日还款 
											 	 ","20000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","30岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97221",\N,"2014-12-18",\N,"艾薇标、十点还 
											 ","20000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"女","26岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97222",\N,"2014-12-18",\N,"中安周年庆•店庆标 
							 					 			 ","888888","已还款","一周年店庆标",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","47岁",\N,\N,\N,\N,\N,\N,\N,"13%",\N
"97223",\N,"2014-12-18",\N,"周年红包标（还款日期1月20日） 
							 					 			 ","300000","已还款"," 此A账户为 8881账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户60%，投顾方40%。
初始权益为 600，0000.00 元 ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","1岁",\N,\N,\N,\N,\N,\N,\N,"1%",\N
"97224",\N,"2014-12-18",\N,"欢迎来投 
											 ","12710","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","30岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97225",\N,"2014-12-18",\N,"顶息一月标 
											 ","15000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","33岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97226",\N,"2014-12-18",\N,"艾薇标，十点还款，少量不满截标 
											 ","15000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"女","26岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97227",\N,"2014-12-18",\N,"十点前还款！ 
											 ","30000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97228",\N,"2014-12-18",\N,"中安保B账户（还款日期1月20日） 
							 					 ","150000","已还款","B账户杠杆费用为1:3 杠杆手续费每一万单月为390


           投资账户内需预留杠杆费用",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97229",\N,"2014-12-18",\N,"七天承兑标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97230",\N,"2014-12-18",\N,"企业三月标 
							 					 			 ","600000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"10%",\N
"97231",\N,"2014-12-18",\N,"企业周转一月标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"3%",\N
"97232",\N,"2014-12-18",\N,"企业周转标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"1.8%",\N
"97233",\N,"2014-12-18",\N,"中安宝B账户（还款日期1月20日）  
							 					 ","150000","已还款","B账户杠杆费用为1:3 杠杆手续费每一万单月为390


           投资账户内需预留杠杆费用",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97234",\N,"2014-12-17",\N,"艾薇标，十点还款，少量不满截标 
											 ","18000","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"女","26岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97235",\N,"2014-12-17",\N,"七天活动标 
							 					 			 ","300000","已还款",\N,\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"0.1%",\N
"97236",\N,"2014-12-17",\N,"企业三月标 
							 					 			 ","600000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"10%",\N
"97237",\N,"2014-12-17",\N,"企业周转一月标   
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"2.8%",\N
"97238",\N,"2014-12-17",\N,"企业周转标 
							 					 			 ","300000","已还款","借款方商业概述
借款方是山东某制造工程有限公司，该1995年正式成立，公司实力雄厚，生产经营能力强大。
据银行征信系统显示，该公司目前负债水平正常，实际控制人信用记录良好。




借款方借款用途
公司备用金补充。




风险控制措施
借款方名下的厂房，价值可覆盖我方授信额度。同时追加股东及相关连人员签署连带责任担保。
另外签署由中安财富代理借款方长期银行融资手续。


风险评估
经中安财富评估，此标风险系数为：低 ",\N,"18.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"1.8%",\N
"97239",\N,"2014-12-17",\N,"老曹回款早，欢迎PVQIU续投！ 
											 ","10899","已还款",\N,\N,"23.24",\N,\N,\N,\N,"
									到期还本息",\N,"男","35岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97240",\N,"2014-12-17",\N,"中安宝A账户固定收益标（还款日期1月19日） 
							 					 ","300000","已还款","此A账户为 88820 账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户固定月息4.5%
盈余部分归投顾所有，不足部分由投顾补齐。
初始权益为 600，0000.00 元 
 ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
"97241",\N,"2014-12-16",\N,"中安宝A账户固定收益标（还款日期1月16日） 
							 					 ","600000","已还款","此A账户为 88820 账户专有公示标，
每日公布盈利情况，长期公示。
不再按满账户进行匹配，当日购买次日计息，满额后停止募集。
购买后累计工作日满21天将后台自动结算，利润分配比例为客户固定月息4.5%
盈余部分归投顾所有，不足部分由投顾补齐。
初始权益为 600，0000.00 元 
 ",\N,"1.00",\N,\N,\N,\N,"
				 
					到期全额还款",\N,"男","43岁",\N,\N,\N,\N,\N,\N,\N,"无",\N
